Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
18,9238,1,137.0,137.4,1,0,1,0,0,18,6,10,1,12.0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
1,9853,1,140.0,124.6,1,0,1,0,0,18,7,7,6,11.666666666666666,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
18,9556,1,127.0,121.8,1,0,1,0,0,20,7,14,7,11.4375,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
1,9238,1,151.0,157.0,1,1,1,0,1,18,6,8,5,11.6,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
1,9085,1,138.0,131.0,1,0,1,0,0,18,5,9,5,12.666666666666666,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
17,9500,1,127.0,118.8,1,0,1,1,0,19,7,9,6,12.933333333333332,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
44,9003,1,150.0,150.0,0,0,1,1,0,21,6,15,5,11.857142857142858,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
1,9147,1,143.0,138.8,0,0,0,1,0,18,5,9,3,11.333333333333334,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
17,9991,0,154.0,134.1,0,0,1,0,0,24,5,9,2,11.5,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
1,9500,1,139.0,121.3,1,0,1,0,1,19,8,10,6,11.833333333333334,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
1,9773,1,127.0,121.8,1,0,1,0,1,20,6,11,4,14.0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
1,171,1,125.0,115.2,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
17,171,1,133.0,126.0,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
17,9070,1,127.0,130.2,1,0,1,1,0,19,6,6,5,11.4,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
43,9070,1,116.0,120.9,0,0,1,1,0,24,6,6,0,0.0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
39,9254,1,160.0,100.0,0,0,1,1,0,26,6,7,6,12.0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
17,9147,1,148.0,134.0,0,0,1,1,0,18,5,9,0,0.0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
17,9254,1,120.0,125.5,0,0,1,1,0,18,5,6,5,12.0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
1,9147,1,143.0,128.7,1,0,1,1,0,23,5,6,4,14.0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
43,9119,1,115.0,112.2,1,1,1,1,0,18,5,9,2,10.0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled
15,9119,1,130.0,137.0,1,0,1,1,0,19,5,9,5,14.0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
1,9085,1,135.0,134.3,1,0,1,0,0,19,5,7,5,14.2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
17,9853,1,133.1,107.0,1,0,1,0,0,20,7,12,6,11.666666666666666,0,7,10,3,13.0,0,16.2,0.3,-0.92,Enrolled
17,9147,1,123.0,115.3,1,0,1,0,1,18,5,9,3,13.0,0,5,11,3,11.0,0,8.9,1.4,3.51,Enrolled
43,9500,1,130.0,100.0,0,0,1,0,0,20,7,11,6,11.616666666666667,0,7,7,7,13.0,0,13.9,-0.3,0.79,Enrolled
17,9238,1,154.0,140.4,1,0,1,0,1,20,6,13,2,10.0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled
17,9147,1,120.0,113.4,0,0,1,0,0,20,5,11,3,10.333333333333334,0,5,10,3,10.666666666666666,0,12.4,0.5,1.79,Enrolled
1,9853,1,146.0,145.3,1,0,1,0,1,18,6,8,5,12.8,0,6,7,5,13.4,0,9.4,-0.8,-3.12,Enrolled
1,9500,1,117.0,112.1,0,0,1,0,1,20,7,9,5,13.188,0,8,9,7,12.892857142857142,0,11.1,0.6,2.02,Enrolled
51,9147,1,99.0,99.7,1,1,0,0,0,22,5,8,0,0.0,0,5,7,0,0.0,0,8.9,1.4,3.51,Enrolled
1,171,1,136.0,121.7,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Enrolled
17,9853,1,138.0,124.7,1,0,1,0,0,18,6,11,3,12.333333333333334,0,6,10,5,10.833333333333334,0,9.4,-0.8,-3.12,Enrolled
39,9003,1,170.0,170.0,0,1,1,0,0,47,1,1,0,0.0,0,6,0,0,0.0,0,8.9,1.4,3.51,Enrolled
39,9085,1,130.0,130.0,1,0,1,0,0,28,5,13,4,11.25,0,5,11,4,10.5,0,12.7,3.7,-1.7,Enrolled
1,9670,1,131.0,123.0,1,0,1,0,1,18,5,6,3,11.666666666666666,0,5,6,4,13.5,0,7.6,2.6,0.32,Enrolled
44,9991,0,140.0,140.0,0,0,1,0,1,26,6,7,6,12.666666666666666,2,6,7,6,13.166666666666666,1,9.4,-0.8,-3.12,Enrolled
43,9238,1,143.0,126.6,0,1,0,0,0,21,10,18,8,11.5,0,6,12,4,10.0,0,9.4,-0.8,-3.12,Enrolled
1,8014,0,120.0,122.8,0,0,1,0,0,23,6,13,2,10.0,0,5,12,1,10.0,0,9.4,-0.8,-3.12,Enrolled
39,9500,1,120.0,105.9,0,0,1,0,0,35,3,4,3,11.816666666666668,0,3,3,3,11.333333333333334,0,11.1,0.6,2.02,Enrolled
39,9556,1,130.0,145.0,0,0,1,0,0,25,7,10,6,12.125,0,8,9,8,13.3125,0,15.5,2.8,-4.06,Enrolled
1,9500,1,125.0,119.4,1,0,1,0,0,19,7,10,6,12.471428571428572,0,7,8,7,11.4625,0,12.4,0.5,1.79,Enrolled
16,171,1,145.0,155.0,1,0,1,0,0,24,17,19,11,12.909090909090908,9,13,15,9,13.555555555555555,0,12.4,0.5,1.79,Enrolled
1,9070,1,125.0,125.4,1,0,1,0,0,19,6,7,5,12.4,0,6,6,5,12.4,0,9.4,-0.8,-3.12,Enrolled
1,9773,1,127.0,123.2,1,0,1,0,0,18,6,12,1,11.0,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Enrolled
17,9070,1,116.0,110.8,0,0,1,0,0,18,6,6,6,11.833333333333334,0,6,6,6,12.5,0,7.6,2.6,0.32,Enrolled
1,9500,1,143.0,142.3,0,0,1,0,1,18,7,7,7,13.79714285714286,0,8,8,8,13.775,0,12.4,0.5,1.79,Enrolled
17,9070,1,123.0,113.9,0,0,1,0,0,18,6,8,6,12.5,0,6,6,6,12.333333333333334,0,15.5,2.8,-4.06,Enrolled
44,9003,1,140.0,140.0,0,0,1,0,0,24,6,10,6,11.428571428571429,0,6,12,5,13.0,0,12.4,0.5,1.79,Enrolled
1,9670,1,119.0,115.5,1,0,1,0,0,19,6,8,4,11.0,0,6,9,4,11.0,0,10.8,1.4,1.74,Enrolled
17,9500,1,160.0,147.8,0,0,1,0,0,20,7,11,6,11.757142857142856,0,8,12,6,13.083333333333334,0,15.5,2.8,-4.06,Enrolled
5,9085,1,141.0,128.8,1,0,1,0,0,19,5,9,3,10.333333333333334,0,5,8,3,13.0,0,7.6,2.6,0.32,Enrolled
1,9853,1,132.0,125.0,1,0,1,0,0,18,6,9,5,12.6,0,6,8,5,11.4,0,9.4,-0.8,-3.12,Enrolled
1,9085,1,135.0,136.8,1,0,1,0,0,18,5,11,5,14.0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Enrolled
1,9853,1,123.0,121.6,1,0,1,0,0,18,7,12,5,12.0,0,7,9,6,12.666666666666666,0,11.1,0.6,2.02,Enrolled
1,9085,1,129.0,125.9,1,0,1,0,0,19,5,13,4,12.0,0,5,8,3,12.0,0,9.4,-0.8,-3.12,Enrolled
42,9147,1,130.0,130.0,1,0,1,0,0,26,5,5,4,13.0,1,5,7,2,12.0,0,9.4,-0.8,-3.12,Enrolled
43,9238,1,110.0,110.0,0,0,1,0,0,36,16,24,13,10.692307692307692,9,13,19,9,12.307692307692308,0,15.5,2.8,-4.06,Enrolled
1,8014,0,96.0,100.0,0,0,1,0,0,20,6,10,5,12.0,0,6,9,4,11.25,0,9.4,-0.8,-3.12,Enrolled
39,9003,1,133.1,130.0,0,1,1,0,1,30,6,6,0,0.0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled
17,9147,1,112.0,112.0,1,0,1,0,0,20,5,10,3,10.333333333333334,0,5,9,4,11.0,2,16.2,0.3,-0.92,Enrolled
1,9500,1,136.0,133.0,1,0,1,0,0,19,7,8,5,13.98,0,7,8,5,13.98,0,7.6,2.6,0.32,Enrolled
17,9085,1,134.0,131.2,0,0,1,0,0,19,5,8,1,11.0,0,5,6,5,11.2,0,7.6,2.6,0.32,Enrolled
39,9991,0,130.0,148.0,0,0,1,0,1,31,5,11,4,11.25,0,5,10,4,10.833333333333334,0,13.9,-0.3,0.79,Enrolled
51,8014,0,133.1,104.0,0,1,1,0,0,42,11,14,10,11.9,5,11,14,10,12.8,0,11.1,0.6,2.02,Enrolled
17,9853,1,125.0,116.6,1,0,0,0,1,18,7,7,7,12.285714285714286,0,7,8,6,13.333333333333334,0,8.9,1.4,3.51,Enrolled
44,9085,1,140.0,140.0,1,0,1,0,0,21,6,16,5,12.666666666666666,1,6,15,2,13.5,0,16.2,0.3,-0.92,Enrolled
43,9500,1,170.0,100.0,0,0,1,0,0,20,7,8,6,13.25,0,8,8,8,13.75,0,13.9,-0.3,0.79,Enrolled
1,9238,1,135.0,121.0,0,0,1,0,0,19,6,13,3,10.333333333333334,0,6,12,3,10.333333333333334,0,7.6,2.6,0.32,Enrolled
17,9853,1,134.0,122.5,1,0,1,0,0,22,6,10,5,13.166666666666666,0,6,8,5,12.4,0,15.5,2.8,-4.06,Enrolled
44,9085,1,140.0,140.0,1,0,1,0,0,21,6,11,4,12.75,0,6,19,1,11.0,0,12.4,0.5,1.79,Enrolled
39,9500,1,150.0,140.0,0,0,1,0,0,26,7,11,5,11.2,0,8,13,5,12.14,0,16.2,0.3,-0.92,Enrolled
17,9070,1,125.0,128.9,0,0,1,0,1,18,6,9,5,11.6,0,6,8,4,11.2,0,8.9,1.4,3.51,Enrolled
17,9254,1,136.0,121.7,1,0,1,0,0,20,6,13,3,10.333333333333334,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,Enrolled
1,9773,1,120.0,114.8,1,0,1,0,0,19,6,11,4,12.25,0,6,11,3,11.0,0,7.6,2.6,0.32,Enrolled
1,9254,1,128.0,127.0,0,0,1,0,0,19,6,6,6,12.0,0,6,7,4,12.75,0,12.4,0.5,1.79,Enrolled
17,9147,1,116.0,112.2,1,0,1,0,0,20,5,8,3,11.333333333333334,0,5,12,2,10.666666666666666,0,10.8,1.4,1.74,Enrolled
17,9254,1,122.0,118.2,0,0,1,0,1,20,6,10,4,11.25,0,6,6,6,10.5,0,12.4,0.5,1.79,Enrolled
43,9556,1,147.0,100.0,0,0,1,0,0,18,2,2,0,0.0,0,4,4,1,16.0,0,10.8,1.4,1.74,Enrolled
43,9130,1,127.0,120.7,1,1,1,0,0,18,5,11,1,12.0,0,5,9,3,12.0,0,12.7,3.7,-1.7,Enrolled
1,9254,1,122.0,114.3,1,0,1,0,1,20,6,8,5,12.8,0,6,9,5,12.8,0,12.4,0.5,1.79,Enrolled
1,9147,1,131.0,132.4,1,0,1,0,0,19,5,5,5,11.8,0,5,8,4,11.25,0,9.4,-0.8,-3.12,Enrolled
17,9238,1,148.0,129.8,0,0,1,0,0,20,6,11,5,10.6,0,6,11,4,10.4,0,15.5,2.8,-4.06,Enrolled
1,9853,1,133.0,131.3,1,0,1,0,0,20,6,9,5,14.333333333333334,4,8,8,8,12.625,0,15.5,2.8,-4.06,Enrolled
17,9238,1,128.0,118.6,1,0,1,0,1,21,6,8,5,13.2,0,6,7,5,11.8,0,8.9,1.4,3.51,Enrolled
44,9085,1,140.0,140.0,0,0,1,0,0,20,6,9,6,12.666666666666666,1,6,12,2,13.0,0,13.9,-0.3,0.79,Enrolled
1,9085,1,101.0,101.0,1,1,1,0,0,22,6,9,5,13.333333333333334,0,6,17,4,11.4,0,12.4,0.5,1.79,Enrolled
1,9853,1,126.0,116.9,1,0,1,0,0,18,7,10,6,10.666666666666666,0,7,12,6,12.833333333333334,0,13.9,-0.3,0.79,Enrolled
17,9085,1,134.0,120.4,1,0,1,0,0,20,5,13,3,11.333333333333334,0,5,8,5,12.6,0,9.4,-0.8,-3.12,Enrolled
1,9070,1,125.0,132.0,0,0,0,0,0,18,6,10,5,12.2,0,6,11,4,10.833333333333334,0,13.9,-0.3,0.79,Enrolled
39,9500,1,133.1,143.7,0,0,1,0,0,27,7,12,4,14.0,0,7,14,3,12.525,0,12.4,0.5,1.79,Enrolled
39,33,1,140.0,152.8,0,0,1,0,0,26,7,9,7,14.75,0,7,12,5,13.8,3,16.2,0.3,-0.92,Enrolled
1,9070,1,121.0,120.7,1,0,1,0,0,18,6,8,4,10.75,0,6,9,0,0.0,0,9.4,-0.8,-3.12,Enrolled
39,9119,1,133.1,100.9,1,0,1,1,0,24,5,9,1,12.0,0,5,6,3,10.5,0,10.8,1.4,1.74,Enrolled
17,9147,1,126.0,116.9,0,0,1,1,1,19,5,12,3,11.666666666666666,0,5,10,3,11.666666666666666,0,12.7,3.7,-1.7,Enrolled
1,9147,1,117.0,118.4,0,0,1,1,0,20,5,8,5,10.0,0,5,10,2,12.0,0,7.6,2.6,0.32,Enrolled
17,9119,1,127.0,121.1,1,0,1,1,1,18,5,6,5,13.2,0,5,8,5,12.6,0,8.9,1.4,3.51,Enrolled
1,9147,1,133.0,121.8,0,0,1,1,0,20,5,9,4,10.2,0,5,6,3,11.0,0,15.5,2.8,-4.06,Enrolled
39,9119,1,120.0,146.8,0,0,1,1,0,25,5,6,5,14.2,1,5,5,2,13.5,0,16.2,0.3,-0.92,Enrolled
1,9670,1,133.1,138.0,0,1,1,1,0,22,6,8,6,12.625,0,6,11,2,14.5,0,11.1,0.6,2.02,Enrolled
1,9500,1,149.0,138.0,0,0,1,1,0,18,8,11,6,13.496666666666668,0,8,11,6,13.496666666666668,1,9.4,-0.8,-3.12,Enrolled
17,9147,1,130.0,117.8,1,0,1,1,0,20,5,8,3,11.0,0,5,11,3,12.0,0,10.8,1.4,1.74,Enrolled
44,9254,1,130.0,130.0,1,1,1,1,0,23,6,12,3,11.5,0,6,12,3,10.666666666666666,0,8.9,1.4,3.51,Enrolled
1,9130,1,132.0,143.9,1,0,1,1,0,20,5,14,2,11.0,0,5,9,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
1,9147,1,121.0,116.8,0,0,1,1,0,20,5,14,3,12.4,0,5,8,5,10.833333333333334,0,13.9,-0.3,0.79,Enrolled
39,9991,0,172.0,150.0,1,0,1,0,1,28,5,7,5,10.6,0,5,6,5,10.2,0,9.4,-0.8,-3.12,Enrolled
17,9670,1,141.0,128.8,1,0,1,0,0,19,6,6,6,14.833333333333334,0,6,8,6,13.285714285714286,0,8.9,1.4,3.51,Enrolled
1,9500,1,133.0,126.7,0,0,1,0,0,19,7,12,4,12.45,0,7,11,5,11.7,0,16.2,0.3,-0.92,Enrolled
17,9670,1,155.0,134.7,1,0,1,0,0,20,6,8,5,13.4,0,6,10,4,13.0,0,12.7,3.7,-1.7,Enrolled
17,9003,1,119.0,113.2,0,1,1,0,0,20,6,8,6,13.333333333333334,0,6,8,5,14.0,0,11.1,0.6,2.02,Enrolled
43,9500,1,126.0,124.3,1,0,1,0,1,18,7,8,5,11.98,0,7,8,5,11.98,0,7.6,2.6,0.32,Enrolled
17,9147,1,118.0,118.0,0,0,1,0,0,20,5,11,4,11.0,0,5,7,5,13.2,0,12.4,0.5,1.79,Enrolled
44,9085,1,140.0,140.0,1,0,1,0,0,19,6,10,5,12.666666666666666,0,6,19,4,11.75,0,12.4,0.5,1.79,Enrolled
1,9853,1,117.0,109.7,1,0,1,0,0,19,6,9,5,12.2,0,6,10,4,13.0,0,9.4,-0.8,-3.12,Enrolled
39,9991,0,120.0,123.2,0,0,1,0,0,27,5,9,3,10.666666666666666,0,5,7,4,11.4,0,10.8,1.4,1.74,Enrolled
1,9147,1,128.0,116.5,0,0,1,0,0,18,5,9,3,11.666666666666666,0,5,15,2,11.0,0,7.6,2.6,0.32,Enrolled
1,9147,1,129.0,121.0,1,0,1,0,0,18,5,8,2,10.5,0,5,7,3,12.333333333333334,0,7.6,2.6,0.32,Enrolled
1,9500,1,143.0,133.8,1,0,1,0,0,18,8,8,8,14.26875,0,8,8,8,14.26875,0,9.4,-0.8,-3.12,Enrolled
1,9147,1,130.0,131.8,1,0,1,0,1,19,5,8,2,10.5,0,5,11,3,13.333333333333334,0,7.6,2.6,0.32,Enrolled
1,9238,1,135.0,121.0,0,0,1,0,0,21,6,11,5,11.2,0,6,15,1,10.0,0,7.6,2.6,0.32,Enrolled
53,9085,1,140.0,143.3,1,0,0,0,0,23,12,19,9,13.666666666666666,4,9,15,6,13.5,0,8.9,1.4,3.51,Enrolled
1,9238,1,125.0,114.9,1,1,1,0,1,19,6,9,5,11.4,0,6,9,3,10.0,0,8.9,1.4,3.51,Enrolled
1,9238,1,135.0,121.0,0,1,1,0,0,18,6,10,5,10.6,0,6,14,2,10.0,0,7.6,2.6,0.32,Enrolled
1,9500,1,117.0,117.4,1,0,1,0,0,19,7,12,5,11.8,0,7,9,6,11.708333333333334,0,11.1,0.6,2.02,Enrolled
1,9853,1,133.0,126.7,1,0,1,0,0,18,6,9,5,11.833333333333334,0,6,6,4,12.0,0,15.5,2.8,-4.06,Enrolled
1,9254,1,140.0,130.0,0,0,1,1,0,21,6,8,6,12.571428571428571,0,6,10,4,13.0,0,12.7,3.7,-1.7,Enrolled
1,9254,1,154.0,137.2,0,0,1,1,0,20,6,12,3,10.0,0,6,9,5,10.8,0,15.5,2.8,-4.06,Enrolled
44,9085,1,130.0,130.0,0,0,0,1,0,20,6,10,5,13.2,1,6,21,3,12.0,0,12.4,0.5,1.79,Enrolled
42,9991,0,123.0,123.0,0,0,1,1,0,37,5,10,5,15.8,0,5,5,5,17.6,0,9.4,-0.8,-3.12,Enrolled
43,9670,1,142.0,138.5,1,0,1,1,0,18,6,16,5,13.8,0,6,7,5,12.4,0,13.9,-0.3,0.79,Enrolled
1,9254,1,115.0,113.6,0,0,1,1,0,23,6,10,6,13.0,0,6,9,6,12.0,0,11.1,0.6,2.02,Enrolled
43,9670,1,141.0,133.3,1,0,1,1,0,18,6,13,4,13.75,0,6,8,5,11.2,0,13.9,-0.3,0.79,Enrolled
43,9773,1,140.0,116.9,0,0,1,1,0,32,11,15,7,11.285714285714286,5,7,10,6,12.333333333333334,0,13.9,-0.3,0.79,Enrolled
1,171,1,137.0,146.5,1,1,1,1,0,19,12,13,11,12.0,4,11,15,10,11.181818181818182,0,8.9,1.4,3.51,Enrolled
5,171,1,137.0,144.7,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Enrolled
15,9147,1,133.1,100.0,0,1,1,1,0,40,5,10,1,11.0,0,5,10,1,10.0,0,11.1,0.6,2.02,Enrolled
1,9147,1,120.0,111.3,0,0,1,1,0,20,5,8,5,10.2,0,5,7,5,11.2,0,12.4,0.5,1.79,Enrolled
44,9130,1,150.0,150.0,1,0,1,0,0,20,5,7,4,12.0,0,5,6,4,12.4,0,10.8,1.4,1.74,Enrolled
1,9500,1,136.0,131.1,1,0,1,0,0,19,7,9,6,13.411428571428573,0,8,12,7,13.294444444444444,0,15.5,2.8,-4.06,Enrolled
1,9085,1,126.0,123.9,1,0,1,0,0,19,6,13,4,11.8,0,6,18,4,12.2,0,12.4,0.5,1.79,Enrolled
17,9853,1,119.0,110.6,0,0,1,0,0,20,7,9,6,11.833333333333334,0,7,7,6,14.333333333333334,0,11.1,0.6,2.02,Enrolled
1,9500,1,154.0,129.0,1,0,1,0,0,18,8,9,6,13.345,0,8,9,6,13.345,2,9.4,-0.8,-3.12,Enrolled
1,9853,1,127.0,137.2,1,0,1,0,0,18,6,7,6,12.166666666666666,0,6,10,4,12.75,0,10.8,1.4,1.74,Enrolled
53,9070,1,130.0,130.0,1,0,0,0,1,22,6,8,6,11.0,0,6,10,4,12.0,0,8.9,1.4,3.51,Enrolled
17,9147,1,118.0,113.5,1,1,1,0,0,20,5,10,2,11.5,0,5,8,3,10.0,0,11.1,0.6,2.02,Enrolled
1,9130,1,143.0,141.3,0,1,0,0,0,23,6,10,6,14.0,0,6,11,4,13.0,0,11.1,0.6,2.02,Enrolled
1,9070,1,123.0,121.3,1,0,1,0,0,20,6,6,6,11.166666666666666,0,6,9,6,11.5,0,12.4,0.5,1.79,Enrolled
51,9147,1,130.0,120.0,0,0,1,0,0,21,5,9,5,12.8,0,5,11,3,12.666666666666666,0,11.1,0.6,2.02,Enrolled
17,9070,1,136.0,130.8,0,0,1,0,0,20,6,6,6,12.5,0,6,8,6,11.5,0,10.8,1.4,1.74,Enrolled
17,9500,1,132.0,125.4,1,0,0,0,1,20,7,7,7,13.462857142857144,0,8,10,7,13.164285714285716,0,11.1,0.6,2.02,Enrolled
1,9085,1,140.0,131.6,1,0,1,0,0,20,7,9,6,14.714285714285714,1,7,16,6,13.2,0,12.4,0.5,1.79,Enrolled
43,9130,1,120.0,120.0,0,1,1,0,0,21,5,9,5,13.2,0,5,7,2,12.5,2,10.8,1.4,1.74,Enrolled
1,9119,1,133.0,121.8,1,0,1,1,0,18,5,9,4,12.0,0,5,10,2,11.0,0,8.9,1.4,3.51,Enrolled
51,9556,1,131.0,126.6,1,0,1,1,0,23,7,11,5,12.414285714285713,0,7,13,2,13.5,0,8.9,1.4,3.51,Enrolled
