Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
17,9147,1,116.0,115.7,0,0,0,1,0,22,5,10,4,11.5,0,5,11,4,14.0,0,8.9,1.4,3.51,Enrolled
1,9085,1,122.0,113.3,1,0,1,0,0,18,5,9,4,14.25,0,5,8,5,12.714285714285714,0,10.8,1.4,1.74,Enrolled
5,9853,1,122.0,112.6,1,0,1,0,0,22,6,10,5,12.6,0,6,9,4,11.25,0,12.7,3.7,-1.7,Enrolled
17,9119,1,127.0,120.4,1,1,0,1,0,18,5,12,0,0.0,0,5,8,0,0.0,0,9.4,-0.8,-3.12,Enrolled
1,9556,1,135.0,131.5,0,0,1,1,1,21,7,14,5,11.2,0,8,11,6,11.583333333333334,0,16.2,0.3,-0.92,Enrolled
1,9254,1,112.0,113.8,1,0,1,0,0,21,6,10,6,10.833333333333334,0,6,10,4,11.0,0,7.6,2.6,0.32,Enrolled
17,9238,1,130.0,130.0,1,0,1,0,0,20,6,8,4,11.25,0,6,15,3,10.0,0,9.4,-0.8,-3.12,Enrolled
39,9991,0,120.0,110.0,0,0,1,0,0,37,5,14,2,10.0,0,5,7,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
39,8014,0,133.1,100.0,0,1,1,0,0,37,8,12,7,11.375,2,7,10,6,12.166666666666666,0,13.9,-0.3,0.79,Enrolled
39,9085,1,140.0,129.3,1,1,1,0,0,28,6,17,0,0.0,0,6,6,0,0.0,0,8.9,1.4,3.51,Enrolled
1,9147,1,125.0,122.2,1,0,1,0,0,18,5,9,1,11.0,0,5,9,2,12.5,0,7.6,2.6,0.32,Enrolled
39,9500,1,100.0,121.3,1,0,1,0,0,34,8,11,7,11.705714285714285,0,8,11,7,11.705714285714285,0,10.8,1.4,1.74,Enrolled
44,9991,0,150.0,150.0,0,0,1,0,0,31,6,8,6,12.0,2,7,8,7,13.428571428571429,0,9.4,-0.8,-3.12,Enrolled
1,9773,1,145.0,131.7,1,0,1,0,0,18,6,7,6,12.666666666666666,0,6,8,4,12.25,0,7.6,2.6,0.32,Enrolled
39,9238,1,133.1,130.0,1,0,1,0,0,31,6,11,0,0.0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
1,9119,1,149.0,141.0,0,0,1,1,0,18,5,9,2,11.666666666666666,0,5,9,2,12.5,2,7.6,2.6,0.32,Enrolled
39,9119,1,150.0,120.0,0,0,1,1,0,24,5,6,3,10.666666666666666,0,5,9,2,10.5,0,15.5,2.8,-4.06,Enrolled
17,9119,1,120.0,116.9,1,1,0,1,0,18,5,10,3,12.0,0,5,8,3,10.333333333333334,0,8.9,1.4,3.51,Enrolled
39,9991,0,100.0,113.0,0,0,1,1,1,41,5,9,4,11.0,0,5,6,5,11.4,0,8.9,1.4,3.51,Enrolled
39,9991,0,130.0,145.6,0,0,1,1,0,34,5,10,4,11.75,0,5,10,4,10.833333333333334,0,13.9,-0.3,0.79,Enrolled
1,9500,1,113.0,107.8,1,0,1,0,1,20,7,10,5,14.46,0,7,8,6,13.55,0,12.4,0.5,1.79,Enrolled
44,9085,1,130.0,130.0,1,0,1,0,0,22,6,12,5,12.8,0,6,19,2,11.5,0,12.4,0.5,1.79,Enrolled
1,9853,1,120.0,115.1,0,0,1,0,1,18,6,11,4,12.0,0,6,8,4,10.75,0,15.5,2.8,-4.06,Enrolled
1,9070,1,125.0,118.0,0,0,1,0,1,18,6,6,6,14.333333333333334,0,6,7,6,14.0,0,11.1,0.6,2.02,Enrolled
1,9853,1,124.0,121.6,0,0,1,0,0,18,6,9,5,12.333333333333334,0,6,10,5,10.6,0,15.5,2.8,-4.06,Enrolled
1,9853,1,163.0,146.6,1,1,1,0,0,18,6,9,5,13.6,0,6,10,4,11.75,0,9.4,-0.8,-3.12,Enrolled
1,9853,1,145.0,142.2,0,0,1,0,0,19,6,9,4,12.5,0,6,9,5,12.5,0,9.4,-0.8,-3.12,Enrolled
51,9070,1,117.0,120.0,1,0,1,0,0,21,6,7,5,12.2,0,6,7,4,12.6,0,8.9,1.4,3.51,Enrolled
17,9853,1,114.0,108.8,1,0,1,0,0,18,7,11,5,11.4,0,7,9,6,13.333333333333334,0,13.9,-0.3,0.79,Enrolled
43,171,1,133.0,133.0,0,0,1,0,0,18,0,0,0,0.0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Enrolled
1,9853,1,121.0,120.0,1,0,1,0,0,18,6,10,3,12.0,0,6,8,4,10.25,0,10.8,1.4,1.74,Enrolled
43,9147,1,123.0,113.2,0,0,1,0,0,21,10,18,6,11.166666666666666,4,10,16,7,10.571428571428571,0,7.6,2.6,0.32,Enrolled
1,9500,1,113.0,106.7,1,0,1,0,1,20,7,10,5,12.62,0,7,8,6,12.5,0,11.1,0.6,2.02,Enrolled
39,9991,0,120.0,140.0,0,0,1,0,0,25,5,11,3,10.666666666666666,0,5,11,3,11.333333333333334,0,15.5,2.8,-4.06,Enrolled
39,9556,1,130.0,159.0,1,0,1,0,0,25,7,11,7,11.857142857142858,0,8,21,5,11.7,0,12.4,0.5,1.79,Enrolled
39,9238,1,170.0,140.0,1,0,1,0,0,24,6,9,4,15.75,0,6,10,5,16.4,0,9.4,-0.8,-3.12,Enrolled
1,9147,1,138.0,131.0,1,0,1,0,0,19,5,9,4,11.0,0,5,8,3,10.666666666666666,0,12.4,0.5,1.79,Enrolled
17,9147,1,121.0,123.8,0,0,1,0,1,19,5,5,5,12.4,0,5,8,3,11.0,0,12.7,3.7,-1.7,Enrolled
16,9147,1,132.0,122.6,1,0,1,0,1,20,5,8,3,12.0,0,5,9,4,12.625,0,10.8,1.4,1.74,Enrolled
1,171,1,131.0,132.8,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
18,9853,1,120.0,115.8,0,0,1,0,0,18,7,12,6,12.0,0,7,11,6,12.166666666666666,0,13.9,-0.3,0.79,Enrolled
17,9147,1,112.0,107.8,1,0,1,0,0,19,5,7,3,10.333333333333334,0,5,11,3,14.428571428571429,0,10.8,1.4,1.74,Enrolled
1,9500,1,138.0,127.5,1,0,1,0,0,19,7,10,5,12.94,0,7,7,5,13.76,0,16.2,0.3,-0.92,Enrolled
1,9147,1,118.0,117.3,1,0,1,0,0,19,5,9,4,12.25,0,5,10,4,12.0,0,8.9,1.4,3.51,Enrolled
7,9500,1,130.0,130.0,1,0,1,0,0,32,7,16,4,13.625,0,7,8,7,12.6375,0,12.4,0.5,1.79,Enrolled
39,9991,0,130.0,115.2,0,0,1,1,0,24,5,5,4,12.0,0,5,6,5,12.666666666666666,0,12.4,0.5,1.79,Enrolled
1,9500,1,133.1,96.0,1,0,1,0,0,19,7,10,6,13.598333333333334,0,8,11,6,11.933333333333332,0,11.1,0.6,2.02,Enrolled
7,9500,1,120.0,120.0,1,0,1,0,0,45,11,11,11,12.7,6,10,12,10,12.96818181818182,0,13.9,-0.3,0.79,Enrolled
17,9853,1,125.0,128.5,1,0,1,0,0,18,7,9,6,11.5,0,7,8,7,12.714285714285714,0,13.9,-0.3,0.79,Enrolled
39,9003,1,133.1,120.0,0,1,1,0,0,37,6,10,6,12.875,0,6,12,6,12.9,0,16.2,0.3,-0.92,Enrolled
17,9238,1,123.0,113.2,0,0,1,0,1,20,6,11,4,10.75,0,6,13,5,11.5,0,15.5,2.8,-4.06,Enrolled
1,9500,1,126.0,121.3,1,0,1,0,1,18,7,9,6,13.533333333333331,0,7,7,7,12.228571428571428,0,12.4,0.5,1.79,Enrolled
53,9085,1,140.0,140.0,1,1,1,0,0,21,9,10,8,13.25,4,9,14,5,12.2,0,8.9,1.4,3.51,Enrolled
39,9119,1,133.1,100.0,0,0,1,1,0,25,5,13,1,11.0,0,5,11,1,10.0,0,13.9,-0.3,0.79,Enrolled
53,9670,1,140.0,140.0,1,1,1,0,0,21,6,12,1,12.0,0,6,11,1,11.0,0,8.9,1.4,3.51,Enrolled
43,9085,1,170.0,170.0,1,0,1,0,0,19,5,5,0,0.0,0,5,7,4,14.75,1,12.7,3.7,-1.7,Enrolled
53,9991,0,140.0,135.0,0,1,1,0,0,23,11,18,8,12.375,3,9,15,5,12.6,0,8.9,1.4,3.51,Enrolled
17,9773,1,121.0,113.7,0,0,1,0,0,18,6,8,5,12.6,0,6,10,6,12.428571428571429,0,15.5,2.8,-4.06,Enrolled
39,8014,0,133.1,116.5,0,0,1,1,1,24,6,6,4,12.25,0,6,10,4,11.5,0,12.4,0.5,1.79,Enrolled
1,9070,1,129.0,132.9,1,0,1,1,1,20,6,9,6,11.375,0,6,6,5,13.8,0,7.6,2.6,0.32,Enrolled
17,9119,1,120.0,117.2,0,0,1,1,1,18,5,8,4,13.5,0,6,10,6,13.625,0,11.1,0.6,2.02,Enrolled
18,9254,1,118.0,123.3,1,0,1,1,0,26,6,10,4,10.0,0,6,11,3,12.0,0,9.4,-0.8,-3.12,Enrolled
1,9670,1,127.0,118.3,1,0,1,0,0,18,6,7,6,12.333333333333334,0,6,10,3,12.0,0,13.9,-0.3,0.79,Enrolled
17,9085,1,123.0,113.6,1,0,1,0,0,19,5,13,3,12.0,0,5,8,4,11.75,0,9.4,-0.8,-3.12,Enrolled
1,9853,1,123.0,115.3,1,0,1,0,0,20,7,8,6,13.5,0,7,8,6,14.0,0,11.1,0.6,2.02,Enrolled
17,9147,1,125.0,118.7,1,0,1,0,0,18,5,16,4,10.666666666666666,0,5,11,2,12.0,0,13.9,-0.3,0.79,Enrolled
1,9085,1,101.0,98.9,1,0,1,0,0,21,6,12,4,12.5,0,6,13,2,12.666666666666666,0,11.1,0.6,2.02,Enrolled
1,9085,1,120.0,113.4,0,0,1,0,0,18,6,14,4,11.5,0,6,17,3,13.75,0,11.1,0.6,2.02,Enrolled
1,9238,1,107.0,103.5,1,0,1,0,0,20,6,13,3,11.2,0,6,9,4,12.0,0,16.2,0.3,-0.92,Enrolled
17,9853,1,126.0,126.0,1,0,1,0,0,19,6,9,5,13.0,0,6,8,5,10.4,0,7.6,2.6,0.32,Enrolled
39,9500,1,133.1,121.7,0,0,1,0,1,27,7,8,6,12.6,0,7,9,6,11.685714285714283,0,12.4,0.5,1.79,Enrolled
17,9147,1,147.0,142.8,1,1,0,0,1,19,5,5,5,12.8,0,5,5,4,12.0,0,11.1,0.6,2.02,Enrolled
1,9500,1,128.0,120.5,1,0,1,0,1,19,7,10,5,13.04,0,7,7,7,12.5,0,12.4,0.5,1.79,Enrolled
53,9085,1,140.0,144.9,1,1,0,0,0,23,11,18,11,13.166666666666666,4,9,15,8,13.333333333333334,0,8.9,1.4,3.51,Enrolled
1,9238,1,108.0,105.9,0,0,1,0,1,20,6,11,5,10.6,0,6,9,5,11.166666666666666,0,11.1,0.6,2.02,Enrolled
1,9085,1,132.0,124.3,0,0,1,0,0,20,6,10,6,13.428571428571429,0,6,11,5,12.666666666666666,0,13.9,-0.3,0.79,Enrolled
17,9147,1,136.0,122.7,1,0,1,1,0,18,5,6,5,12.0,0,5,7,4,12.5,0,15.5,2.8,-4.06,Enrolled
1,9085,1,118.0,112.4,1,0,1,1,0,21,5,7,4,11.5,0,5,15,3,10.6,4,10.8,1.4,1.74,Enrolled
1,9130,1,133.1,138.0,1,0,1,0,0,20,6,11,6,13.333333333333334,0,6,10,6,13.0,0,16.2,0.3,-0.92,Enrolled
1,171,1,140.0,138.3,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0,0.0,0,12.4,0.5,1.79,Enrolled
1,9773,1,132.0,124.3,1,0,1,0,0,19,6,6,5,12.2,0,6,7,5,10.8,0,10.8,1.4,1.74,Enrolled
1,9773,1,122.0,126.9,1,0,1,0,1,19,6,11,4,11.0,0,6,11,3,11.666666666666666,0,9.4,-0.8,-3.12,Enrolled
1,9147,1,127.0,123.5,1,0,1,0,1,19,5,5,5,11.6,0,5,11,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
1,9130,1,140.0,129.5,1,0,1,0,0,18,5,10,4,13.5,0,5,5,5,13.4,0,12.7,3.7,-1.7,Enrolled
1,9254,1,143.0,133.2,1,0,1,0,0,19,6,9,5,13.4,0,6,16,2,13.5,0,10.8,1.4,1.74,Enrolled
17,9238,1,138.0,133.5,1,0,1,0,1,21,6,8,3,10.2,0,6,13,4,12.25,0,12.7,3.7,-1.7,Enrolled
1,9254,1,129.0,122.0,1,0,1,0,1,18,6,9,6,10.833333333333334,0,6,8,5,11.0,0,7.6,2.6,0.32,Enrolled
1,9500,1,130.0,125.1,1,0,1,0,1,18,7,9,6,12.816666666666668,0,8,11,6,12.875,0,11.1,0.6,2.02,Enrolled
15,9119,1,160.0,160.0,0,1,1,0,0,19,6,11,2,13.5,0,5,11,2,11.0,0,8.9,1.4,3.51,Enrolled
1,9119,1,121.0,114.0,0,0,1,1,0,20,5,9,4,11.6,0,5,7,4,12.25,2,7.6,2.6,0.32,Enrolled
1,9147,1,123.0,117.8,0,0,1,1,0,20,5,9,5,12.0,0,5,9,4,13.0,0,8.9,1.4,3.51,Enrolled
1,9500,1,122.0,114.3,1,0,1,1,0,18,7,8,6,13.976666666666668,0,8,12,6,12.041666666666666,1,11.1,0.6,2.02,Enrolled
1,9670,1,136.0,129.7,1,0,1,1,0,19,6,10,4,12.5,0,6,12,1,10.0,3,16.2,0.3,-0.92,Enrolled
1,9670,1,121.0,122.4,1,0,1,1,0,19,5,7,3,11.666666666666666,0,5,5,4,12.0,0,9.4,-0.8,-3.12,Enrolled
17,9254,1,135.0,135.0,1,0,1,1,0,20,6,8,6,11.833333333333334,0,6,9,5,10.4,0,7.6,2.6,0.32,Enrolled
17,9119,1,126.0,122.9,1,0,1,1,0,21,5,10,4,13.2,0,5,7,4,14.25,2,7.6,2.6,0.32,Enrolled
17,9147,1,120.0,124.2,1,0,1,1,0,18,5,13,5,12.0,0,5,9,4,11.4,0,13.9,-0.3,0.79,Enrolled
44,9003,1,130.0,130.0,1,0,1,1,0,20,6,12,4,11.6,0,6,11,5,11.5,0,15.5,2.8,-4.06,Enrolled
17,9119,1,131.0,123.7,1,0,1,1,0,20,5,7,4,12.0,0,5,8,2,12.5,0,10.8,1.4,1.74,Enrolled
17,9670,1,133.1,96.0,1,0,1,0,1,25,6,8,6,11.285714285714286,0,6,10,5,12.2,0,15.5,2.8,-4.06,Enrolled
39,9003,1,140.0,150.0,0,0,1,1,0,28,6,12,5,12.0,0,6,10,6,12.333333333333334,0,11.1,0.6,2.02,Enrolled
39,9500,1,130.0,163.7,0,0,1,0,0,35,7,11,5,13.34,0,7,9,5,10.84,0,12.4,0.5,1.79,Enrolled
39,9500,1,130.0,130.0,0,0,1,0,0,27,8,12,7,12.457142857142856,3,8,12,7,12.457142857142856,0,12.7,3.7,-1.7,Enrolled
39,9991,0,160.0,160.0,0,0,1,0,1,31,5,13,4,10.5,0,5,10,4,10.5,0,15.5,2.8,-4.06,Enrolled
39,9991,0,133.1,150.0,0,0,1,1,0,47,5,8,4,10.0,0,5,8,4,12.5,0,9.4,-0.8,-3.12,Enrolled
1,171,1,133.0,141.4,0,0,1,1,1,20,0,0,0,0.0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Enrolled
1,171,1,134.0,141.7,1,0,1,1,0,18,0,0,0,0.0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
39,9003,1,133.1,100.7,0,0,1,0,0,39,6,15,2,13.0,0,6,13,3,13.0,1,15.5,2.8,-4.06,Enrolled
7,9119,1,180.0,180.0,0,1,1,1,0,30,5,6,4,14.5,0,5,10,3,16.2,0,13.9,-0.3,0.79,Enrolled
44,9991,0,140.0,140.0,0,0,1,0,0,41,6,10,4,12.25,3,7,9,6,12.5,0,9.4,-0.8,-3.12,Enrolled
18,9773,1,125.0,122.2,0,0,0,0,0,18,6,7,5,12.6,0,6,6,5,11.8,0,11.1,0.6,2.02,Enrolled
17,9147,1,139.0,143.6,1,1,1,1,0,18,5,9,0,0.0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
15,33,1,133.1,100.0,0,0,1,1,0,20,7,10,7,12.857142857142858,0,7,7,4,12.75,0,8.9,1.4,3.51,Enrolled
17,9130,1,137.0,130.0,1,0,1,0,0,21,6,12,5,13.6,0,6,10,4,14.25,0,12.4,0.5,1.79,Enrolled
44,9130,1,140.0,140.0,1,1,0,0,0,20,6,11,3,12.0,0,6,11,2,11.0,0,12.4,0.5,1.79,Enrolled
17,9085,1,106.0,106.0,0,0,1,0,0,20,6,9,6,13.166666666666666,0,6,8,4,14.0,0,13.9,-0.3,0.79,Enrolled
15,9556,1,137.0,137.0,0,1,1,0,0,19,7,11,0,0.0,0,7,11,2,11.666666666666666,0,8.9,1.4,3.51,Enrolled
1,8014,0,121.0,114.4,1,0,1,0,0,45,12,14,12,14.0,2,7,12,7,13.857142857142858,0,7.6,2.6,0.32,Enrolled
39,9991,0,100.0,120.7,0,0,1,0,0,28,5,9,4,11.25,0,5,7,4,13.0,0,7.6,2.6,0.32,Enrolled
16,171,1,158.0,164.3,1,0,1,1,1,18,0,0,0,0.0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
16,9070,1,133.0,122.5,1,0,1,0,0,18,6,11,1,11.0,0,6,11,4,11.0,4,7.6,2.6,0.32,Enrolled
1,9147,1,132.0,131.3,1,0,1,0,0,18,5,8,4,12.0,0,5,8,4,12.25,0,9.4,-0.8,-3.12,Enrolled
17,9119,1,133.1,117.0,1,0,1,1,0,21,5,10,5,11.166666666666666,0,5,10,3,10.8,0,12.4,0.5,1.79,Enrolled
1,9147,1,120.0,122.8,1,0,1,1,0,18,5,6,4,11.5,0,5,12,2,10.333333333333334,0,10.8,1.4,1.74,Enrolled
17,9147,1,118.0,118.4,1,0,1,1,0,19,5,10,2,10.5,0,5,5,4,11.75,0,12.4,0.5,1.79,Enrolled
1,9670,1,127.0,128.1,0,0,1,1,0,19,5,8,4,12.5,0,5,6,4,11.0,0,7.6,2.6,0.32,Enrolled
1,9500,1,133.1,99.0,1,0,1,1,0,22,7,9,6,12.833333333333334,0,8,12,6,12.5,0,16.2,0.3,-0.92,Enrolled
17,9670,1,110.0,111.3,0,0,1,1,0,21,6,10,6,12.285714285714286,0,6,11,4,14.25,0,15.5,2.8,-4.06,Enrolled
1,9254,1,125.0,121.5,1,0,1,1,0,18,6,12,5,11.0,0,6,11,3,10.333333333333334,0,9.4,-0.8,-3.12,Enrolled
53,9003,1,130.0,130.0,1,1,1,1,0,20,12,16,11,12.545454545454543,5,10,12,8,11.625,0,8.9,1.4,3.51,Enrolled
17,9773,1,128.0,125.2,1,0,1,1,0,18,6,6,6,12.666666666666666,0,6,7,5,13.6,0,12.4,0.5,1.79,Enrolled
16,9085,1,134.0,123.9,1,0,1,1,0,18,5,11,5,13.0,0,5,7,5,12.4,0,9.4,-0.8,-3.12,Enrolled
43,8014,0,130.0,100.0,0,0,1,1,0,54,13,14,13,13.307692307692308,7,11,12,11,12.818181818181818,0,12.7,3.7,-1.7,Enrolled
1,9500,1,141.0,124.3,0,0,1,0,0,19,8,8,7,14.514285714285714,0,8,8,7,14.514285714285714,0,12.7,3.7,-1.7,Enrolled
7,9991,0,120.0,120.0,0,0,1,0,0,27,5,5,5,15.2,0,5,6,5,14.0,0,11.1,0.6,2.02,Enrolled
1,9085,1,130.0,129.0,0,0,1,0,0,20,5,7,4,11.75,0,5,9,2,10.5,0,7.6,2.6,0.32,Enrolled
1,171,1,136.0,152.5,1,0,1,0,0,20,0,0,0,0.0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Enrolled
1,9773,1,150.0,138.1,1,0,1,0,0,19,6,7,6,14.0,0,6,7,5,15.0,0,11.1,0.6,2.02,Enrolled
39,9991,0,133.1,127.7,0,0,1,0,0,25,5,12,4,12.5,0,5,10,4,11.0,0,13.9,-0.3,0.79,Enrolled
1,9119,1,128.0,124.5,1,0,1,1,0,19,5,10,3,10.666666666666666,0,5,9,2,14.0,2,7.6,2.6,0.32,Enrolled
1,9773,1,117.0,109.3,0,0,1,1,0,19,6,11,4,12.25,0,6,10,3,12.666666666666666,0,7.6,2.6,0.32,Enrolled
1,171,1,124.0,121.2,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
1,9147,1,131.0,123.3,0,0,1,1,0,19,5,7,5,11.8,0,5,8,4,12.4,2,16.2,0.3,-0.92,Enrolled
1,9119,1,131.0,135.9,0,0,1,1,0,18,5,10,2,14.0,0,5,7,3,11.0,1,7.6,2.6,0.32,Enrolled
1,9147,1,117.0,117.0,1,0,1,1,0,19,5,5,4,10.75,0,5,6,4,12.25,0,12.4,0.5,1.79,Enrolled
44,9991,0,130.0,130.0,0,0,1,0,0,31,6,12,4,12.25,3,7,9,7,12.0,0,9.4,-0.8,-3.12,Enrolled
44,9085,1,140.0,140.0,0,1,0,0,0,24,6,11,4,12.5,1,6,18,2,11.5,0,12.4,0.5,1.79,Enrolled
39,9500,1,100.0,130.0,0,0,1,1,1,33,8,16,1,10.0,0,8,16,1,10.0,1,12.7,3.7,-1.7,Enrolled
44,9130,1,130.0,130.0,1,0,1,0,1,20,6,11,4,12.0,0,6,9,4,10.75,0,16.2,0.3,-0.92,Enrolled
39,8014,0,140.0,172.0,0,0,1,1,0,44,11,21,9,12.333333333333334,8,11,16,9,11.0,0,12.4,0.5,1.79,Enrolled
1,9500,1,130.0,118.1,1,0,1,1,0,18,7,10,6,12.035714285714286,0,8,9,7,13.75,0,13.9,-0.3,0.79,Enrolled
17,9254,1,122.0,116.1,1,0,1,1,0,19,6,7,5,12.2,0,6,12,2,12.0,0,7.6,2.6,0.32,Enrolled
44,9003,1,120.0,120.0,1,0,1,1,0,21,9,14,7,11.285714285714286,2,8,15,4,12.25,0,12.7,3.7,-1.7,Enrolled
17,9070,1,152.0,134.2,1,0,1,1,0,20,6,7,5,11.8,0,6,9,4,12.0,0,15.5,2.8,-4.06,Enrolled
44,9119,1,150.0,150.0,0,0,1,1,0,20,5,16,0,0.0,0,5,12,2,10.5,0,12.7,3.7,-1.7,Enrolled
1,9119,1,150.0,143.4,0,0,0,1,1,18,5,5,5,14.2,0,5,5,5,14.2,0,8.9,1.4,3.51,Enrolled
17,171,1,145.0,143.6,0,1,1,1,0,19,12,12,10,12.7,4,11,16,10,12.272727272727272,0,8.9,1.4,3.51,Enrolled
44,9254,1,170.0,170.0,0,0,0,1,0,26,8,14,8,15.125,1,6,12,6,13.666666666666666,0,11.1,0.6,2.02,Enrolled
51,9147,1,116.0,115.2,0,1,1,1,0,32,7,16,3,12.0,3,8,10,3,10.333333333333334,0,8.9,1.4,3.51,Enrolled
16,9853,1,134.0,121.4,1,0,1,0,1,23,6,10,4,14.25,0,6,8,5,12.0,0,7.6,2.6,0.32,Enrolled
39,9147,1,133.1,134.8,0,0,1,0,0,24,5,12,2,10.5,0,5,9,4,10.0,2,16.2,0.3,-0.92,Enrolled
