Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
43,9070,1,150.0,126.4,0,0,1,1,0,26,7,8,7,13.285714285714286,3,8,11,7,12.142857142857142,0,12.4,0.5,1.79,Enrolled
1,9500,1,127.0,121.4,0,0,1,1,0,20,7,10,5,13.976666666666668,0,8,9,8,13.22222222222222,0,12.4,0.5,1.79,Enrolled
17,9853,1,114.0,111.9,1,0,1,1,1,20,6,6,6,12.0,0,6,7,6,12.5,0,7.6,2.6,0.32,Enrolled
39,9500,1,133.1,100.5,1,0,1,1,0,43,8,8,7,11.635714285714286,0,8,8,7,11.635714285714286,0,10.8,1.4,1.74,Enrolled
17,9119,1,138.0,123.3,1,1,1,1,0,18,5,9,4,12.5,0,5,11,5,11.285714285714286,0,12.4,0.5,1.79,Enrolled
39,9991,0,160.0,114.3,0,0,1,1,0,40,5,9,3,11.0,0,5,8,4,12.5,1,7.6,2.6,0.32,Enrolled
1,9254,1,133.1,97.0,0,0,1,1,0,27,6,6,6,10.666666666666666,0,6,8,4,11.25,0,10.8,1.4,1.74,Enrolled
44,9003,1,140.0,140.0,1,1,1,1,0,26,6,6,0,0.0,0,6,7,0,0.0,0,8.9,1.4,3.51,Enrolled
1,9119,1,126.0,122.5,1,0,1,1,0,20,5,7,5,10.8,0,5,9,3,12.0,0,8.9,1.4,3.51,Enrolled
51,9147,1,130.0,115.7,0,0,1,1,0,20,5,7,5,11.0,0,5,7,3,10.0,0,8.9,1.4,3.51,Enrolled
1,9119,1,140.0,166.0,1,1,1,1,0,20,5,7,0,0.0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled
39,9500,1,120.0,125.3,0,1,1,1,0,30,7,12,4,14.4,0,7,9,6,13.5,0,12.4,0.5,1.79,Enrolled
17,9670,1,115.0,109.1,0,1,0,1,0,21,6,11,4,12.25,0,6,9,4,13.4,0,11.1,0.6,2.02,Enrolled
17,9670,1,109.0,108.0,0,0,1,1,0,19,5,10,0,0.0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
39,9556,1,160.0,130.0,0,0,1,0,0,25,7,14,7,11.95,0,8,15,7,12.042857142857144,0,12.7,3.7,-1.7,Enrolled
39,9556,1,110.0,112.8,0,0,1,0,1,26,7,7,0,0.0,0,8,8,0,0.0,6,10.8,1.4,1.74,Enrolled
17,9147,1,129.0,128.3,1,0,1,0,0,19,5,10,3,11.0,0,5,9,4,11.75,0,12.7,3.7,-1.7,Enrolled
43,9085,1,127.0,100.0,0,0,1,0,0,21,6,11,4,11.75,0,6,12,3,13.666666666666666,0,13.9,-0.3,0.79,Enrolled
1,9130,1,138.0,123.0,1,0,1,0,0,21,5,12,1,11.0,0,5,9,2,10.5,0,12.7,3.7,-1.7,Enrolled
39,9085,1,130.0,120.0,0,0,0,0,0,26,6,8,6,15.428571428571429,0,6,7,5,14.5,0,11.1,0.6,2.02,Enrolled
1,9500,1,131.0,122.0,1,0,1,0,0,20,8,8,7,14.014285714285714,0,8,8,7,14.014285714285714,0,12.7,3.7,-1.7,Enrolled
17,9238,1,118.0,110.7,1,0,1,0,0,18,6,15,2,10.333333333333334,0,6,13,3,13.333333333333334,0,12.7,3.7,-1.7,Enrolled
1,9500,1,106.0,102.2,1,1,1,1,0,20,7,7,7,12.401428571428571,0,8,10,6,11.808333333333332,0,11.1,0.6,2.02,Enrolled
44,9003,1,120.0,120.0,0,0,1,1,0,23,6,6,0,0.0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Enrolled
44,9003,1,130.0,130.0,0,0,1,1,0,20,6,12,4,10.8,0,6,13,4,12.0,0,12.4,0.5,1.79,Enrolled
43,8014,0,120.0,100.0,0,0,1,0,0,45,9,13,8,11.0,3,7,10,6,10.833333333333334,0,12.7,3.7,-1.7,Enrolled
39,8014,0,100.0,111.0,1,0,1,0,1,26,6,10,3,12.333333333333334,0,6,14,3,11.666666666666666,0,7.6,2.6,0.32,Enrolled
39,9991,0,130.0,130.1,0,0,1,0,0,25,5,8,3,11.0,0,5,8,3,11.25,0,10.8,1.4,1.74,Enrolled
1,9500,1,124.0,117.5,1,0,1,1,0,19,8,10,5,12.858,0,8,10,5,12.858,3,9.4,-0.8,-3.12,Enrolled
1,9500,1,126.0,120.2,0,0,1,0,1,19,7,9,5,14.06,0,7,9,7,11.242857142857142,0,12.4,0.5,1.79,Enrolled
17,171,1,141.0,136.1,1,0,1,0,1,18,0,0,0,0.0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Enrolled
43,9670,1,129.0,122.4,1,0,1,0,0,19,5,5,4,13.75,0,6,9,5,12.6,0,12.7,3.7,-1.7,Enrolled
43,9773,1,119.0,105.0,1,0,1,0,0,23,6,11,3,11.333333333333334,0,6,7,2,11.0,0,16.2,0.3,-0.92,Enrolled
1,9238,1,132.0,129.9,1,0,1,0,0,20,6,7,5,13.2,0,6,6,6,12.666666666666666,0,10.8,1.4,1.74,Enrolled
1,9670,1,120.0,111.3,1,0,1,1,0,19,5,7,3,11.333333333333334,0,5,7,4,11.0,0,9.4,-0.8,-3.12,Enrolled
39,9991,0,130.0,127.6,0,0,1,1,0,29,5,5,0,0.0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
1,9670,1,122.0,126.6,1,0,1,0,0,18,6,8,6,14.625,0,6,9,6,14.142857142857142,0,11.1,0.6,2.02,Enrolled
1,9500,1,126.0,120.1,1,0,1,0,0,19,7,12,4,13.375,0,7,8,6,12.116666666666667,0,12.4,0.5,1.79,Enrolled
1,9147,1,129.0,117.8,0,0,1,0,1,19,5,6,4,11.0,0,5,9,4,13.857142857142858,0,10.8,1.4,1.74,Enrolled
43,9773,1,127.0,117.6,1,0,1,0,0,18,6,6,0,0.0,0,6,10,3,11.0,0,16.2,0.3,-0.92,Enrolled
17,9670,1,115.0,109.1,1,0,1,0,1,19,6,7,6,13.285714285714286,0,6,9,5,14.6,0,12.4,0.5,1.79,Enrolled
1,9500,1,125.0,120.3,1,0,1,0,0,19,7,11,5,11.716666666666669,0,7,8,5,13.7,0,13.9,-0.3,0.79,Enrolled
1,9070,1,129.0,136.4,1,0,1,0,0,18,6,6,6,12.333333333333334,0,6,6,6,12.833333333333334,0,7.6,2.6,0.32,Enrolled
17,9147,1,137.0,124.4,1,0,1,0,0,18,5,5,5,12.6,0,5,5,4,11.0,0,11.1,0.6,2.02,Enrolled
39,9003,1,150.0,120.0,0,1,0,0,0,34,6,10,6,14.333333333333334,0,6,9,6,12.833333333333334,0,11.1,0.6,2.02,Enrolled
1,9670,1,117.0,111.8,0,0,1,0,0,22,5,8,3,12.0,0,5,9,2,11.0,1,7.6,2.6,0.32,Enrolled
39,9147,1,140.0,108.0,0,0,1,0,0,50,5,12,3,13.333333333333334,0,5,8,5,12.2,0,9.4,-0.8,-3.12,Enrolled
39,9085,1,130.0,110.0,0,0,1,0,1,25,6,13,3,11.666666666666666,0,6,14,2,11.333333333333334,0,11.1,0.6,2.02,Enrolled
39,9991,0,120.0,119.9,0,0,1,0,0,50,5,9,2,10.5,0,5,7,3,11.0,0,12.7,3.7,-1.7,Enrolled
43,8014,0,133.1,106.0,1,0,1,0,0,48,6,9,5,13.0,0,6,10,4,12.5,0,7.6,2.6,0.32,Enrolled
39,9147,1,110.0,140.0,0,0,1,0,0,41,5,14,4,14.5,0,5,12,5,13.0,0,9.4,-0.8,-3.12,Enrolled
43,9991,0,140.0,117.3,0,0,1,0,0,28,10,15,6,10.666666666666666,5,10,17,9,11.333333333333334,1,7.6,2.6,0.32,Enrolled
51,9147,1,160.0,118.0,0,0,1,0,0,53,15,15,15,11.8,12,13,13,12,11.666666666666666,1,8.9,1.4,3.51,Enrolled
39,8014,0,120.0,106.8,0,0,1,0,0,49,6,9,5,12.333333333333334,0,6,12,4,11.5,0,13.9,-0.3,0.79,Enrolled
43,9238,1,122.0,114.3,1,0,1,0,0,22,10,15,8,11.0,2,7,16,5,11.2,0,9.4,-0.8,-3.12,Enrolled
39,9991,0,120.0,147.8,0,0,1,0,0,40,5,9,4,11.25,0,5,6,5,12.0,0,13.9,-0.3,0.79,Enrolled
43,9991,0,120.0,120.0,0,0,1,0,0,36,12,21,11,11.5,7,12,22,12,11.4375,0,9.4,-0.8,-3.12,Enrolled
39,8014,0,133.1,119.0,0,0,1,0,1,48,6,7,6,10.666666666666666,0,6,9,5,11.8,0,10.8,1.4,1.74,Enrolled
39,8014,0,155.0,117.5,0,0,1,0,0,34,6,6,4,13.25,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
1,9500,1,136.0,127.0,1,0,1,0,0,19,8,10,1,13.67,0,8,10,1,13.67,7,9.4,-0.8,-3.12,Enrolled
39,9991,0,110.0,127.1,0,0,1,0,0,34,5,9,4,11.0,0,5,10,4,10.75,1,7.6,2.6,0.32,Enrolled
39,9556,1,133.1,152.8,1,0,1,0,0,28,7,9,7,12.428571428571429,0,8,8,8,12.3,0,12.4,0.5,1.79,Enrolled
39,9670,1,100.0,100.0,0,0,1,0,0,35,5,8,5,11.4,0,5,7,3,12.333333333333334,0,9.4,-0.8,-3.12,Enrolled
17,9500,1,138.0,133.0,1,0,1,0,0,18,8,8,0,0.0,0,8,8,0,0.0,5,9.4,-0.8,-3.12,Enrolled
5,9085,1,150.0,139.4,0,0,1,0,0,18,5,9,3,12.0,0,5,6,4,13.0,0,7.6,2.6,0.32,Enrolled
43,9853,1,118.0,110.0,1,0,1,0,0,20,6,10,4,12.25,0,6,8,4,11.5,0,10.8,1.4,1.74,Enrolled
1,9254,1,137.0,125.1,1,0,1,0,0,18,6,10,4,11.75,0,6,9,5,11.2,0,7.6,2.6,0.32,Enrolled
17,9147,1,120.0,112.0,0,0,1,0,0,20,5,10,4,11.0,0,5,7,4,11.5,0,15.5,2.8,-4.06,Enrolled
39,9500,1,148.0,130.0,0,0,1,0,0,24,8,12,7,12.714285714285714,0,8,12,7,12.714285714285714,0,12.7,3.7,-1.7,Enrolled
17,9147,1,127.0,124.6,1,0,1,0,1,19,5,12,2,10.0,0,5,11,4,11.75,0,11.1,0.6,2.02,Enrolled
1,9773,1,137.0,139.8,1,0,1,0,0,18,6,10,6,12.571428571428571,0,6,11,6,12.571428571428571,0,10.8,1.4,1.74,Enrolled
17,9500,1,130.0,128.8,1,0,1,0,0,18,7,8,6,13.39,0,8,10,7,12.757142857142856,0,11.1,0.6,2.02,Enrolled
1,9085,1,146.0,126.0,0,0,1,0,0,19,5,7,3,12.333333333333334,0,5,7,4,10.25,0,7.6,2.6,0.32,Enrolled
42,9147,1,139.0,112.3,1,0,1,0,0,19,5,8,2,11.5,0,5,10,3,10.857142857142858,0,10.8,1.4,1.74,Enrolled
1,9773,1,130.0,137.4,0,0,1,0,0,19,6,6,6,15.0,0,6,7,6,14.0,0,15.5,2.8,-4.06,Enrolled
1,9500,1,140.0,124.3,1,0,1,0,0,19,7,9,5,12.32,0,7,9,5,11.9,0,12.4,0.5,1.79,Enrolled
1,9670,1,121.0,111.9,1,0,1,1,1,20,6,7,6,11.333333333333334,0,6,10,4,10.571428571428571,0,10.8,1.4,1.74,Enrolled
39,9119,1,130.0,149.0,1,0,1,1,0,33,5,10,4,12.0,0,5,8,3,13.666666666666666,1,7.6,2.6,0.32,Enrolled
1,9670,1,132.0,143.6,1,0,1,1,0,20,6,8,5,12.8,0,6,10,5,11.6,0,13.9,-0.3,0.79,Enrolled
43,9119,1,130.0,128.0,0,1,0,1,0,27,5,5,0,0.0,0,5,7,0,0.0,0,13.9,-0.3,0.79,Enrolled
7,9147,1,110.0,110.0,0,0,1,0,0,33,8,10,6,12.833333333333334,2,5,8,4,12.0,0,11.1,0.6,2.02,Enrolled
17,9853,1,128.0,128.4,1,0,1,0,1,20,6,10,5,13.2,0,6,12,5,12.833333333333334,0,9.4,-0.8,-3.12,Enrolled
1,9238,1,138.0,135.9,1,0,1,0,0,19,6,11,5,11.6,0,6,11,6,11.666666666666666,0,7.6,2.6,0.32,Enrolled
1,9773,1,127.0,121.1,1,0,1,0,0,18,6,6,6,13.166666666666666,0,6,6,6,12.5,0,15.5,2.8,-4.06,Enrolled
1,9670,1,143.0,144.1,1,0,1,0,0,19,6,7,5,12.6,0,6,10,5,12.375,0,10.8,1.4,1.74,Enrolled
1,9085,1,133.1,115.0,1,0,1,0,0,21,5,8,3,11.333333333333334,0,5,8,3,13.333333333333334,0,12.7,3.7,-1.7,Enrolled
17,9670,1,125.0,118.4,1,0,1,0,1,19,5,8,3,10.5,0,5,6,4,11.75,1,7.6,2.6,0.32,Enrolled
17,9238,1,126.0,116.9,1,0,1,0,0,21,6,11,6,10.375,0,6,12,3,11.666666666666666,0,12.7,3.7,-1.7,Enrolled
1,9500,1,122.0,119.6,1,0,1,0,0,21,7,8,6,13.25,0,8,8,8,13.8375,0,13.9,-0.3,0.79,Enrolled
17,9500,1,141.0,135.4,1,0,1,0,0,18,7,9,7,12.50625,0,8,15,5,13.2,0,13.9,-0.3,0.79,Enrolled
1,9853,1,129.0,126.9,1,0,1,0,1,19,6,9,5,12.2,0,6,10,4,11.5,0,7.6,2.6,0.32,Enrolled
1,9500,1,101.0,102.4,0,0,1,0,0,20,7,9,5,12.04,0,7,9,6,11.77142857142857,0,12.4,0.5,1.79,Enrolled
17,9147,1,125.0,125.7,0,0,1,0,0,20,5,7,5,11.166666666666666,0,5,9,4,10.75,0,15.5,2.8,-4.06,Enrolled
1,9130,1,117.0,109.3,1,0,1,0,0,20,5,10,4,12.5,0,5,12,2,13.0,0,12.7,3.7,-1.7,Enrolled
1,9500,1,125.0,115.6,1,0,1,0,0,18,7,9,6,12.183333333333332,0,7,9,6,11.783333333333331,0,16.2,0.3,-0.92,Enrolled
1,9147,1,130.0,117.8,0,0,1,0,0,18,5,8,2,10.0,0,5,9,3,11.333333333333334,0,7.6,2.6,0.32,Enrolled
17,9254,1,121.0,123.1,1,0,1,1,0,21,6,11,6,11.166666666666666,0,6,14,3,14.666666666666666,0,7.6,2.6,0.32,Enrolled
43,9070,1,135.0,122.8,1,0,1,1,1,20,6,8,3,11.0,0,6,8,2,11.333333333333334,0,10.8,1.4,1.74,Enrolled
17,9238,1,131.0,120.2,1,0,1,0,1,19,6,9,5,11.333333333333334,0,6,6,6,10.833333333333334,0,13.9,-0.3,0.79,Enrolled
43,9500,1,140.0,125.7,1,0,1,1,1,19,7,8,5,11.2,0,7,8,5,11.2,0,7.6,2.6,0.32,Enrolled
39,9119,1,130.0,137.0,1,0,1,1,0,28,5,11,4,10.5,0,5,12,4,11.0,4,7.6,2.6,0.32,Enrolled
1,9147,1,122.0,116.4,0,0,1,1,0,21,5,10,3,11.25,0,5,9,3,11.0,0,15.5,2.8,-4.06,Enrolled
51,9991,0,120.0,128.2,0,1,1,1,0,24,10,15,7,10.714285714285714,3,10,11,9,12.555555555555555,0,12.4,0.5,1.79,Enrolled
42,9003,1,140.0,140.0,1,0,1,1,0,23,6,14,5,12.0,0,6,12,5,12.142857142857142,0,15.5,2.8,-4.06,Enrolled
1,9773,1,127.0,122.8,1,0,1,1,0,20,6,7,6,12.166666666666666,0,6,9,3,12.0,0,12.4,0.5,1.79,Enrolled
1,171,1,124.0,118.4,1,0,1,1,0,18,0,0,0,0.0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
43,8014,0,148.0,134.7,0,0,1,0,0,23,13,15,9,11.0,4,11,12,7,11.571428571428571,0,15.5,2.8,-4.06,Enrolled
44,9085,1,150.0,150.0,1,0,1,0,0,23,6,11,4,11.5,0,6,12,4,12.2,0,8.9,1.4,3.51,Enrolled
39,9147,1,130.0,142.5,0,0,1,0,0,39,5,8,4,11.25,0,5,8,4,11.5,0,11.1,0.6,2.02,Enrolled
1,9670,1,113.0,110.2,1,0,1,0,0,22,5,7,3,12.666666666666666,0,5,6,4,12.0,0,7.6,2.6,0.32,Enrolled
39,9991,0,133.1,130.4,0,0,1,0,0,30,5,10,3,10.666666666666666,0,5,8,5,10.4,0,12.7,3.7,-1.7,Enrolled
39,9991,0,140.0,110.0,0,0,1,0,1,35,5,9,3,11.666666666666666,0,5,7,5,11.8,0,12.7,3.7,-1.7,Enrolled
43,9500,1,120.0,120.0,1,0,1,0,0,26,7,8,6,12.0,0,7,8,6,12.0,0,7.6,2.6,0.32,Enrolled
53,9147,1,130.0,132.4,0,0,1,0,0,30,11,20,9,12.22222222222222,3,9,16,9,11.6,0,8.9,1.4,3.51,Enrolled
39,9991,0,162.0,132.0,0,1,1,1,0,25,5,8,4,11.0,0,5,7,4,12.0,0,7.6,2.6,0.32,Enrolled
17,9500,1,132.0,130.8,1,0,1,0,0,18,8,8,7,13.68142857142857,0,8,8,7,13.68142857142857,0,10.8,1.4,1.74,Enrolled
43,9500,1,133.1,114.5,0,0,1,0,0,23,7,11,6,12.1,0,7,7,6,12.616666666666667,0,16.2,0.3,-0.92,Enrolled
17,9500,1,126.0,126.2,1,0,1,0,1,18,7,10,5,11.94,0,7,8,6,12.8,0,11.1,0.6,2.02,Enrolled
51,9070,1,133.1,106.6,0,1,1,0,0,31,6,8,5,11.0,4,6,12,6,10.166666666666666,0,8.9,1.4,3.51,Enrolled
1,9254,1,120.0,118.3,0,0,1,1,0,20,6,8,6,12.857142857142858,0,6,9,5,12.4,0,8.9,1.4,3.51,Enrolled
1,171,1,123.0,118.8,0,0,1,1,0,19,10,10,5,11.0,2,7,8,2,10.0,0,8.9,1.4,3.51,Enrolled
39,9119,1,120.0,116.0,0,1,1,1,1,34,5,14,1,17.0,0,5,10,2,11.0,0,9.4,-0.8,-3.12,Enrolled
17,9147,1,110.0,99.0,0,0,1,1,0,21,5,5,5,11.0,0,5,11,3,11.428571428571429,0,10.8,1.4,1.74,Enrolled
17,9773,1,129.0,132.5,1,0,1,1,0,21,6,7,0,0.0,0,6,11,1,10.0,0,10.8,1.4,1.74,Enrolled
17,9670,1,140.0,133.4,0,0,1,1,0,24,6,6,4,11.25,0,6,9,4,10.428571428571429,0,10.8,1.4,1.74,Enrolled
17,9670,1,138.0,123.0,0,1,0,1,0,20,6,7,5,12.4,0,6,8,4,13.0,0,13.9,-0.3,0.79,Enrolled
1,9119,1,160.0,153.7,0,0,1,1,0,19,5,7,1,13.0,0,5,7,2,10.0,0,9.4,-0.8,-3.12,Enrolled
1,8014,0,123.0,127.6,1,0,1,1,0,26,6,6,6,11.833333333333334,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Enrolled
44,9119,1,130.0,130.0,0,0,1,1,0,20,5,12,1,13.0,0,5,8,3,12.6,0,12.4,0.5,1.79,Enrolled
1,9147,1,143.0,135.0,1,0,1,0,0,21,5,8,4,11.0,0,5,8,5,12.0,0,7.6,2.6,0.32,Enrolled
1,9991,0,122.0,113.6,0,0,1,1,0,26,5,11,2,11.5,0,5,10,3,12.0,0,7.6,2.6,0.32,Enrolled
1,9500,1,145.0,132.3,1,0,1,0,1,19,8,8,7,14.06,0,8,8,7,14.06,0,10.8,1.4,1.74,Enrolled
1,9147,1,137.0,124.4,0,0,1,0,0,19,5,6,4,11.25,0,5,10,3,11.714285714285714,0,10.8,1.4,1.74,Enrolled
1,9085,1,127.0,122.8,1,0,1,0,0,19,5,10,2,14.5,0,5,9,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
43,9238,1,109.0,108.3,0,0,1,0,1,21,6,15,2,10.5,0,6,8,5,12.4,0,10.8,1.4,1.74,Enrolled
1,9147,1,129.0,118.9,1,0,1,0,0,19,5,8,4,12.8,0,5,10,3,14.5,0,10.8,1.4,1.74,Enrolled
43,9147,1,131.0,126.1,0,0,1,0,0,18,5,5,0,0.0,0,5,9,4,13.25,2,16.2,0.3,-0.92,Enrolled
1,9670,1,126.0,125.7,0,0,1,0,0,20,6,9,6,13.571428571428571,0,6,10,5,13.6,0,15.5,2.8,-4.06,Enrolled
43,9991,0,134.0,113.7,0,0,1,0,0,32,5,5,5,10.2,0,5,9,4,11.25,0,9.4,-0.8,-3.12,Enrolled
16,9853,1,134.0,121.1,1,0,1,0,0,19,6,8,5,12.2,0,6,8,5,11.8,0,10.8,1.4,1.74,Enrolled
5,9670,1,135.0,140.3,1,0,1,0,0,19,6,7,6,13.428571428571429,0,6,6,4,14.0,0,12.4,0.5,1.79,Enrolled
17,9147,1,139.0,133.4,0,0,1,0,0,18,5,9,1,11.0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
17,9500,1,136.0,125.7,1,0,1,0,0,20,7,8,6,13.548333333333334,0,8,11,6,14.775,0,11.1,0.6,2.02,Enrolled
1,9773,1,143.0,144.8,0,0,1,0,0,19,6,6,6,12.166666666666666,0,6,6,6,12.5,0,16.2,0.3,-0.92,Enrolled
18,9147,1,100.0,101.8,1,0,1,0,0,24,5,5,5,10.8,0,5,11,2,11.0,0,10.8,1.4,1.74,Enrolled
43,9991,0,120.0,122.5,1,0,1,0,0,29,13,16,8,10.5,8,12,19,9,10.333333333333334,0,9.4,-0.8,-3.12,Enrolled
17,9556,1,133.0,119.0,0,0,1,0,0,19,7,10,6,11.15,0,7,7,7,12.814285714285717,0,12.7,3.7,-1.7,Enrolled
1,9670,1,120.0,115.1,0,0,1,0,0,19,6,8,3,11.666666666666666,0,6,11,5,13.625,0,10.8,1.4,1.74,Enrolled
39,9991,0,130.0,151.6,0,0,1,0,0,24,5,9,5,12.285714285714286,0,5,8,5,12.125,0,16.2,0.3,-0.92,Enrolled
39,9500,1,133.1,121.4,0,1,1,0,0,28,7,12,4,13.375,0,7,7,5,13.5,0,13.9,-0.3,0.79,Enrolled
43,9500,1,130.0,103.7,0,0,1,0,0,38,8,12,5,13.126,1,8,12,5,13.126,1,10.8,1.4,1.74,Enrolled
1,9853,1,160.0,146.0,1,0,1,0,0,19,6,11,3,10.333333333333334,0,6,10,5,11.8,0,9.4,-0.8,-3.12,Enrolled
1,9147,1,124.0,128.6,1,0,1,0,0,20,5,5,4,12.0,0,4,4,2,11.5,0,7.6,2.6,0.32,Enrolled
1,9991,0,140.0,124.6,0,0,1,0,0,29,5,11,5,11.4,0,5,10,4,10.25,0,15.5,2.8,-4.06,Enrolled
1,9500,1,135.0,124.0,1,0,1,0,1,19,8,8,7,12.771428571428572,0,8,8,7,12.771428571428572,1,9.4,-0.8,-3.12,Enrolled
39,9238,1,160.0,124.0,0,1,1,1,0,28,8,15,7,11.0,0,6,17,1,10.0,0,10.8,1.4,1.74,Enrolled
39,9003,1,160.0,140.0,0,0,1,1,0,27,6,6,0,0.0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled
1,9147,1,130.0,119.5,1,0,1,1,1,18,5,7,4,11.25,0,5,6,4,12.25,0,12.4,0.5,1.79,Enrolled
44,9130,1,140.0,140.0,0,0,1,1,0,20,6,12,5,12.4,1,6,11,2,15.0,0,13.9,-0.3,0.79,Enrolled
